"Row in ""ProgramEos""",Swdl,Keygroup ID,Linear Distance,(Row ID = Row ID in ISP),,"Best matching SWDL files and keygroups to use for the instruments in ""Instrument-Sample Info"" based on the ""nearest"" data from ""ProgramEos"""
3074,bgm0004.swd,6,"0,00",,,
3111,bgm0004.swd,6,"0,00",,,
3148,bgm0072.swd,6,"0,00",,,
3152,bgm0009.swd,5,"0,00",,,
3159,bgm0009.swd,5,"0,00",,,
3166,bgm0009.swd,5,"0,00",,,
3173,bgm0016.swd,5,"0,00",,,
3178,bgm0024.swd,5,"0,00",,,
3190,bgm0032.swd,0,"0,00",,,
-1,-1,-1,"9999999,00",,,
3205,bgm0003.swd,0,"0,00",,,
3235,bgm0012.swd,0,"0,00",,,
3272,bgm0058.swd,0,"0,00",,,
3274,bgm0033.swd,0,"0,00",,,
3282,bgm0165.swd,0,"0,00",,,
3292,bgm0015.swd,6,"0,00",,,
3309,bgm0018.swd,0,"0,00",,,
-1,-1,-1,"9999999,00",,,
3322,bgm0040.swd,0,"0,00",,,
3333,bgm0015.swd,6,"0,00",,,
3344,bgm0138.swd,0,"132,42",,,
-1,-1,-1,"9999999,00",,,
-1,-1,-1,"9999999,00",,,
3345,bgm0001.swd,6,"0,00",,,
-1,-1,-1,"9999999,00",,,
3379,bgm0079.swd,0,"0,00",,,
3384,bgm0107.swd,0,"0,00",,,
3385,bgm0064.swd,0,"0,00",,,
3387,bgm0029.swd,0,"0,00",,,
3388,bgm0029.swd,0,"0,00",,,
3389,bgm0139.swd,5,"0,00",,,
0,bgm0003.swd,0,"40,00",,,
55,bgm0008.swd,0,"40,00",,,
59,bgm0007.swd,0,"40,00",,,
72,bgm0008.swd,1,"40,00",,,
-1,-1,-1,"9999999,00",,,
98,bgm0004.swd,0,"40,00",,,
119,bgm0003.swd,0,"40,00",,,
129,bgm0008.swd,1,"40,00",,,
159,bgm0008.swd,1,"40,00",,,
185,bgm0008.swd,1,"40,00",,,
217,bgm0008.swd,0,"40,00",,,
247,bgm0098.swd,0,"47,00",,,
265,bgm0053.swd,0,"81,69",,,
-1,-1,-1,"9999999,00",,,
-1,-1,-1,"9999999,00",,,
-1,-1,-1,"9999999,00",,,
268,bgm0003.swd,4,"40,00",,,
295,bgm0007.swd,4,"80,02",,,
308,bgm0008.swd,4,"40,00",,,
320,bgm0008.swd,0,"40,00",,,
328,bgm0008.swd,2,"40,00",,,
330,bgm0008.swd,2,"40,00",,,
338,bgm0008.swd,2,"40,00",,,
341,bgm0001.swd,2,"40,00",,,
387,bgm0003.swd,2,"40,00",,,
396,bgm0008.swd,2,"40,00",,,
398,bgm0008.swd,2,"40,00",,,
400,bgm0008.swd,2,"40,00",,,
401,bgm0008.swd,2,"40,00",,,
402,bgm0003.swd,0,"40,00",,,
410,bgm0008.swd,0,"40,00",,,
454,bgm0004.swd,0,"40,00",,,
458,bgm0008.swd,0,"40,00",,,
-1,-1,-1,"9999999,00",,,
-1,-1,-1,"9999999,00",,,
460,bgm0008.swd,0,"40,00",,,
477,bgm0008.swd,0,"40,00",,,
478,bgm0008.swd,0,"40,00",,,
479,bgm0004.swd,3,"40,00",,,
512,bgm0008.swd,0,"100,49",,,
-1,-1,-1,"9999999,00",,,
-1,-1,-1,"9999999,00",,,
-1,-1,-1,"9999999,00",,,
3390,bgm0014.swd,0,"43,74",,,
545,bgm0008.swd,0,"40,00",,,
547,bgm0008.swd,0,"40,00",,,
-1,-1,-1,"9999999,00",,,
549,bgm0007.swd,0,"107,97",,,
555,bgm0008.swd,0,"79,21",,,
561,bgm0009.swd,0,"40,00",,,
565,bgm0008.swd,0,"89,99",,,
571,bgm0007.swd,0,"40,00",,,
579,bgm0004.swd,0,"78,42",,,
593,bgm0007.swd,0,"64,88",,,
599,bgm0008.swd,0,"40,00",,,
609,bgm0003.swd,0,"40,00",,,
3391,bgm0107.swd,0,"93,62",,,
-1,-1,-1,"9999999,00",,,
3392,bgm0081.swd,0,"40,00",,,
3393,bgm0000.swd,0,"90,00",,,
3394,bgm0000.swd,0,"108,86",,,
-1,-1,-1,"9999999,00",,,
-1,-1,-1,"9999999,00",,,
3395,bgm0107.swd,0,"84,91",,,
-1,-1,-1,"9999999,00",,,
3396,bgm0107.swd,0,"72,11",,,
-1,-1,-1,"9999999,00",,,
620,bgm0167.swd,0,"40,00",,,
623,bgm0176.swd,0,"79,21",,,
624,bgm0176.swd,0,"79,21",,,
625,bgm0160.swd,0,"40,00",,,
626,bgm0160.swd,0,"40,00",,,
627,bgm0160.swd,0,"40,00",,,
628,bgm0160.swd,0,"40,00",,,
629,bgm0160.swd,0,"40,00",,,
630,bgm0160.swd,0,"40,00",,,
631,bgm0160.swd,0,"40,00",,,
632,bgm0160.swd,0,"40,00",,,
633,bgm0160.swd,0,"40,00",,,
656,bgm0171.swd,0,"40,00",,,
3397,bgm0003.swd,0,"40,00",,,
3398,bgm0018.swd,0,"20,00",,,
3399,bgm0096.swd,0,"40,00",,,
3400,bgm0051.swd,3,"40,00",,,
659,bgm0045.swd,0,"40,00",,,
3403,bgm0126.swd,0,"40,00",,,
3404,bgm0125.swd,1,"64,00",,,
3405,bgm0125.swd,1,"58,31",,,
-1,-1,-1,"9999999,00",,,
-1,-1,-1,"9999999,00",,,
-1,-1,-1,"9999999,00",,,
-1,-1,-1,"9999999,00",,,
-1,-1,-1,"9999999,00",,,
3406,bgm0100.swd,1,"40,00",,,
3412,bgm0100.swd,1,"40,00",,,
3414,bgm0100.swd,1,"40,00",,,
3417,bgm0101.swd,1,"40,00",,,
3420,bgm0101.swd,1,"40,00",,,
3422,bgm0101.swd,2,"40,00",,,
3426,bgm0103.swd,1,"40,00",,,
3428,bgm0103.swd,1,"40,00",,,
3429,bgm0104.swd,0,"40,00",,,
3430,bgm0105.swd,1,"40,00",,,
3431,bgm0105.swd,1,"40,00",,,
3432,bgm0106.swd,1,"40,00",,,
3433,bgm0106.swd,2,"40,00",,,
3435,bgm0128.swd,0,"40,00",,,
3436,bgm0113.swd,1,"40,00",,,
3439,bgm0112.swd,1,"40,00",,,
3441,bgm0112.swd,1,"40,00",,,
3443,bgm0113.swd,1,"40,00",,,
3444,bgm0114.swd,1,"40,00",,,
3445,bgm0114.swd,1,"40,00",,,
3446,bgm0115.swd,1,"40,00",,,
3450,bgm0115.swd,1,"40,00",,,
3453,bgm0116.swd,1,"40,00",,,
3455,bgm0117.swd,1,"40,00",,,
3457,bgm0118.swd,0,"40,00",,,
3458,bgm0117.swd,1,"40,00",,,
3461,bgm0127.swd,1,"40,00",,,
-1,-1,-1,"9999999,00",,,
-1,-1,-1,"9999999,00",,,
-1,-1,-1,"9999999,00",,,
-1,-1,-1,"9999999,00",,,
-1,-1,-1,"9999999,00",,,
3462,bgm0179.swd,0,"40,00",,,
3464,bgm0179.swd,0,"40,00",,,
3465,bgm0181.swd,0,"40,00",,,
3466,bgm0182.swd,0,"40,00",,,
3468,bgm0183.swd,0,"40,00",,,
3469,bgm0183.swd,0,"40,00",,,
3471,bgm0183.swd,0,"40,00",,,
3472,bgm0185.swd,0,"40,00",,,
3473,bgm0186.swd,0,"40,00",,,
3474,bgm0187.swd,0,"40,00",,,
3475,bgm0188.swd,0,"40,00",,,
3476,bgm0189.swd,0,"40,00",,,
3479,bgm0190.swd,0,"40,00",,,
3481,bgm0190.swd,0,"40,00",,,
3482,bgm0191.swd,0,"40,00",,,
3483,bgm0191.swd,0,"40,00",,,
3484,bgm0190.swd,0,"40,00",,,
